fips,state,TableName,code,features,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,United States,SAINC30,10,"Personal income (millions of dollars), Millions of dollars",1495704.0,1651632.0,1855849.0,2073257.0,2313160.0,2592915.0,2779794.0,2968676.0,3279488.0,3510471.0,3719647.0,3946593.0,4267813.0,4609667.0,4897821.0,5067291.0,5409920.0,5648732.0,5940128.0,6286143.0,6673186.0,7086935.0,7601594.0,8006585.0,8654561.0,9009842.0,9157682.0,9491393.0,10037313.0,10599603.0,11374142.0,12014107.0,12475898.0,12073407.0,12586509.0,13330436.0,14003346.0,14189228.0,14969527.0,15681233.0,16092713.0,16845028.0,17681159.0,18402004.0,19607447.0
0,United States,SAINC30,45,"Net earnings by place of residence, Millions of dollars",1072073.0,1190833.0,1344996.0,1495859.0,1618672.0,1765899.0,1845301.0,1962663.0,2175598.0,2335155.0,2484740.0,2674253.0,2899920.0,3083262.0,3271097.0,3361240.0,3605733.0,3761599.0,3950293.0,4143678.0,4402705.0,4702424.0,5084084.0,5440247.0,5896481.0,6135866.0,6253320.0,6468100.0,6849620.0,7169907.0,7600838.0,7908745.0,8029808.0,7729044.0,8044853.0,8532504.0,8956779.0,9133289.0,9540141.0,9916037.0,10150812.0,10632188.0,11160651.0,11609392.0,11749329.0
0,United States,SAINC30,50,"Personal current transfer receipts, Millions of dollars",184845.0,195111.0,210561.0,236376.0,280874.0,319762.0,356141.0,384671.0,401232.0,425761.0,451711.0,468094.0,497410.0,544186.0,597231.0,668048.0,747939.0,792906.0,828880.0,883374.0,929128.0,954797.0,983878.0,1026144.0,1087280.0,1192565.0,1285190.0,1347228.0,1421206.0,1516711.0,1613814.0,1728065.0,1955082.0,2146693.0,2325117.0,2358654.0,2362988.0,2424317.0,2541516.0,2685370.0,2776983.0,2856320.0,2976288.0,3139054.0,4241091.0
0,United States,SAINC30,60,"Income maintenance benefits, Millions of dollars",23998.0,24773.0,25234.0,28026.0,34933.0,38209.0,38919.0,41936.0,43256.0,44886.0,47513.0,48653.0,52986.0,58178.0,65441.0,74771.0,86836.0,92509.0,98210.0,104951.0,107701.0,106158.0,107098.0,109356.0,110582.0,113847.0,124986.0,137644.0,149094.0,165905.0,170430.0,180646.0,196000.0,230848.0,256034.0,264137.0,267614.0,271171.0,270971.0,273685.0,270676.0,269727.0,262713.0,272103.0,302583.0
0,United States,SAINC30,70,"Unemployment insurance compensation, Millions of dollars",16551.0,13291.0,10292.0,10341.0,18662.0,17032.0,25338.0,26437.0,15996.0,15877.0,16572.0,14800.0,13448.0,14476.0,18208.0,26858.0,39628.0,34871.0,24012.0,21833.0,22406.0,20253.0,19856.0,20747.0,20989.0,32148.0,53736.0,53573.0,37084.0,32277.0,30899.0,33382.0,52014.0,131990.0,139715.0,107871.0,84439.0,63049.0,35787.0,32860.0,32267.0,30634.0,28154.0,27952.0,536927.0
0,United States,SAINC30,80,"Retirement and other, Millions of dollars",144296.0,157047.0,175035.0,198009.0,227279.0,264521.0,291884.0,316298.0,341980.0,364998.0,387626.0,404641.0,430976.0,471532.0,513582.0,566419.0,621475.0,665526.0,706658.0,756590.0,799021.0,828386.0,856924.0,896041.0,955709.0,1046570.0,1106468.0,1156011.0,1235028.0,1318529.0,1412485.0,1514037.0,1707068.0,1783855.0,1929368.0,1986646.0,2010935.0,2090097.0,2234758.0,2378825.0,2474040.0,2555959.0,2685421.0,2838999.0,3401581.0
0,United States,SAINC30,90,"Dividends, interest, and rent, Millions of dollars",238786.0,265688.0,300292.0,341022.0,413614.0,507254.0,578352.0,621342.0,702658.0,749555.0,783196.0,804246.0,870483.0,982219.0,1029493.0,1038003.0,1056248.0,1094227.0,1160955.0,1259091.0,1341353.0,1429714.0,1533632.0,1540194.0,1670800.0,1681411.0,1619172.0,1676065.0,1766487.0,1912985.0,2159490.0,2377297.0,2491008.0,2197670.0,2216539.0,2439278.0,2683579.0,2631622.0,2887870.0,3079826.0,3164918.0,3356520.0,3544220.0,3653558.0,3617027.0
0,United States,SAINC30,91,"Personal dividend income, Millions of dollars",38971.0,44723.0,50728.0,57437.0,63973.0,73630.0,77562.0,83288.0,90643.0,97390.0,106030.0,112150.0,129743.0,157797.0,168824.0,180170.0,189050.0,204733.0,235215.0,257985.0,302171.0,337921.0,355436.0,346563.0,383501.0,369342.0,398800.0,432138.0,561683.0,577756.0,722775.0,815239.0,804585.0,552965.0,543861.0,681497.0,835075.0,793291.0,953167.0,1033002.0,1077392.0,1154438.0,1253254.0,1315912.0,1297734.0
0,United States,SAINC30,92,"Personal interest income, Millions of dollars",179505.0,205099.0,233019.0,267493.0,330662.0,409844.0,476958.0,513618.0,587361.0,625962.0,658898.0,675501.0,718248.0,802899.0,832502.0,819256.0,806626.0,799413.0,812074.0,876223.0,896654.0,944734.0,1012991.0,1015134.0,1103824.0,1109668.0,1011924.0,1016830.0,962022.0,1114122.0,1255594.0,1375799.0,1396148.0,1297112.0,1239007.0,1251240.0,1314036.0,1260901.0,1332001.0,1437341.0,1460878.0,1549357.0,1609075.0,1645548.0,1607709.0
0,United States,SAINC30,93,"Imputed interest receipts, Millions of dollars",93675.0,104485.0,118353.0,125337.0,147646.0,169165.0,201560.0,245222.0,262711.0,297543.0,324846.0,349521.0,368169.0,394348.0,415521.0,433911.0,453231.0,471756.0,484316.0,521843.0,530572.0,571697.0,580068.0,595062.0,631641.0,631178.0,633543.0,656991.0,669014.0,704863.0,753988.0,803001.0,849549.0,844748.0,837744.0,854978.0,869741.0,864672.0,909388.0,971684.0,965967.0,993029.0,1032147.0,1042911.0,1036042.0
